current_run_id,institution_name,source_id,source_name,monitoring_mode,collector_capability,attempted_this_run,skipped_this_run,skip_reason,fetched_this_run,changed_this_run,candidate_links_this_run,detail_pages_this_run,error_this_run,historical_last_success,health_status,action_required
final_readiness_20260629T133423_idempotency_clean,Garanti BBVA,REG-001,Garanti BBVA İşim İçin / KOBİ bankacılığı,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Garanti BBVA,REG-002,Garanti BBVA Kartlar & POS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,İş Bankası,REG-004,İş Bankası İş Ticari,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,İş Bankası,REG-005,İş Bankası Sanal POS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,İş Bankası,REG-006,İş Bankası Duyurular,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,Akbank,REG-007,Akbank Kurumsal,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Akbank,REG-008,Akbank Cebe POS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Akbank,REG-009,Akbank Dövizli POS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Yapı Kredi,REG-010,Yapı Kredi KOBİ,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Yapı Kredi,REG-011,Yapı Kredi KOBİ Kampanyaları,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,Yapı Kredi,REG-012,Yapı Kredi Basın Bültenleri,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-013,QNB Finansbank KOBİ / KOBİ sayfası,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,DenizBank,REG-014,DenizBank İşim İçin / KOBİ Banking,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,DenizBank,REG-015,DenizBank Üye İşyeri ve POS İşlemleri,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,TEB,REG-016,TEB Firmaniz Icin,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,VakifBank,REG-017,VakifBank POS / Üye İşyeri Hizmetleri,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,VakifBank,REG-018,VakifBank POS Kampanyaları,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Ziraat Bankasi,REG-019,Ziraat Bankasi Üye İşyeri ve POS Hizmetleri,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Bankkart POS,REG-020,Bankkart POS,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Halkbank,REG-021,Halkbank Üye İşyeri ve POS Hizmetleri,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
