source_family,discovery_stage,discovery_origin,seed_url,resolved_item_url,discovery_seed_accepted,item_title,item_url,canonical_url,publication_date,date_verified,page_type,body_chars,named_partner,network_signal_type,network_layer,deployment_scope,content_role,strategic_priority_score,item_level_verified,publication_date_verified,body_verified,recent_item_eligible,claude_eligible,proposed_destination,duplicate_status,notes,seed_date_hint,seed_date_hint_source,seed_date_verified,retained_as_evidence,benchmark_eligible,context_eligible,accepted_deprecated,intake_status
Agent Pay,Seed,manual_seed,https://www.mastercard.com/news/press/?q=Agent+Pay,,True,Mastercard launches Agent Pay as agentic AI reshapes digital commerce,https://www.mastercard.com/news/press/?q=Agent+Pay,https://www.mastercard.com/news/press/?q=Agent+Pay,,False,access_denied,210,,Kapsam Dışı,Diğer,Belirsiz,Keşif Seed'i,0,False,False,False,False,False,Keşif / Çözümleme Bekliyor,seed_or_benchmark_only,Not article-verified: seed_page_access_denied,,,False,True,False,False,False,Unresolved
Commercial Cards / Virtual Cards,Product Benchmark,product_related_content,https://www.mastercard.com/global/en/business/payment-solutions/virtual-cards.html,,True,Mastercard commercial cards and virtual cards support supplier payment automation,https://www.mastercard.com/global/en/business/payment-solutions/virtual-cards.html,https://www.mastercard.com/global/en/business/payment-solutions/virtual-cards.html,,False,access_denied,253,,Aktarılabilir Mastercard Kabiliyeti,Ticari Kartlar,Global,Benchmark Bilgisi,0,False,False,False,False,False,Benchmark Fact,seed_or_benchmark_only,Evergreen product page; outside recent-development flow.,,,False,True,True,False,False,Unresolved
EEMEA Newsroom,Seed,newsroom_listing,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/,,True,Mastercard EEMEA newsroom listing,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/,,False,access_denied,236,,Kapsam Dışı,Diğer,Belirsiz,Keşif Seed'i,0,False,False,False,False,False,Keşif / Çözümleme Bekliyor,seed_or_benchmark_only,Not article-verified: access_denied_no_article_links,,,False,True,False,False,False,Unresolved
Global Newsroom,Seed,newsroom_listing,https://www.mastercard.com/news/press/,,True,Mastercard global newsroom listing,https://www.mastercard.com/news/press/,https://www.mastercard.com/news/press/,,False,access_denied,209,,Kapsam Dışı,Diğer,Belirsiz,Keşif Seed'i,0,False,False,False,False,False,Keşif / Çözümleme Bekliyor,seed_or_benchmark_only,Not article-verified: access_denied_no_article_links,,,False,True,False,False,False,Unresolved
Merchant Cloud,Seed,manual_seed,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2026/may/network-international-jordan-launches-click-to-pay-through-mastercard-merchant-cloud-expanding-access-to-secure-digital-payments/,,True,Network International Jordan launches Click to Pay through Mastercard Merchant Cloud,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2026/may/network-international-jordan-launches-click-to-pay-through-mastercard-merchant-cloud-expanding-access-to-secure-digital-payments/,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2026/may/network-international-jordan-launches-click-to-pay-through-mastercard-merchant-cloud-expanding-access-to-secure-digital-payments/,,False,access_denied,377,,Kapsam Dışı,Diğer,Belirsiz,Keşif Seed'i,0,False,False,False,False,False,Keşif / Çözümleme Bekliyor,seed_or_benchmark_only,Not article-verified: seed_page_access_denied,,,False,True,False,False,False,Unresolved
Tokenization and Network Credentials,Seed,manual_seed,https://www.mastercard.com/news/press/?q=tokenization+network+credentials,,True,Mastercard expands network token and credential lifecycle capabilities for issuers and merchants,https://www.mastercard.com/news/press/?q=tokenization+network+credentials,https://www.mastercard.com/news/press/?q=tokenization+network+credentials,,False,access_denied,210,,Kapsam Dışı,Diğer,Belirsiz,Keşif Seed'i,0,False,False,False,False,False,Keşif / Çözümleme Bekliyor,seed_or_benchmark_only,Not article-verified: seed_page_access_denied,,,False,True,False,False,False,Unresolved
