institution_name,source_id,candidate_title,candidate_url,normalized_item_date,date_source,date_confidence,content_role,development_candidate_type,saved_to_recent_items,rejected_reason
Odeabank,REG-096,"Odeabank, İzmir İş İnsanları İle Dış Ticareti Konuştu| Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/izmir-dis-ticaret-bulusmasi,,missing,Yok,Bağımsız Gelişme,Ürün / Özellik Gelişmesi,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,"Pandemide İhracatçılara 11,7 Milyar TL’lik Kaynak | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/dis-ticaret-bulusmasi-degerlendirme,2020-12-31,announcement_date,Yüksek,Bağımsız Gelişme,Ürün / Özellik Gelişmesi,False,Kesim tarihinden eski: 2020-12-31 < 2026-05-01
Odeabank,REG-096,"Odeabank, Konyalı İş İnsanları İle Dış Ticareti Konuştu | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/konya-dis-ticaret-bulusmasi,,missing,Yok,Bağımsız Gelişme,Ürün / Özellik Gelişmesi,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,Denizli İş İnsanları Dış Ticaret Buluşması | Odeabank,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/denizli-dis-ticaret-bulusmasi,,missing,Yok,Bağımsız Gelişme,Ürün / Özellik Gelişmesi,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,"Odeabank, Bursalı İhracatçılarla Dış Ticareti Konuştu | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/basin-bultenleri-bursa-dis-ticaret-bulusmasi,,missing,Yok,Bağımsız Gelişme,Ürün / Özellik Gelişmesi,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,Odeabank 500’ü aşkın ihracatçıyla bir araya geldi | Odeabank,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabank-pandemi-surecinde-besyuzu-askin-ihracatciyla-bir-araya-geldi,,missing,Yok,Bağımsız Gelişme,Kampanya,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,"Odeabank, Kayserili İş İnsanları ile Dış Ticareti Konuştu | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabank-kayserili-is-insanlari-ile-dis-ticareti-konustu,,missing,Yok,Bağımsız Gelişme,Kampanya,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,"Odeabank, Osmaniye ve Hataylı İhracatçılarla Buluştu | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabank-osmaniye-ve-hatayli-ihracatcilarla-bulustu,,missing,Yok,Bağımsız Gelişme,Kampanya,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,Odeabank: Zor Dönemde İhracatçılarımızın Yanındayız | Odeabank,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/zor-donemde-ihracatcilarimizin-yanindayiz,,missing,Yok,Bağımsız Gelişme,Kampanya,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,"Odeabank, Gaziantepli İhracatçılarla Buluştu | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabank-gaziantepli-ihracatcilarla-video-konferansta-bulustu,,missing,Yok,Yönetici Bilgilendirme,Yönetici Bilgilendirme,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,"Odeabank, İhracatçılara Kılavuzluk Yapıyor | Odeabank",https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabank-ihracatcilara-kilavuzluk-yapmaya-devam-ediyor,,missing,Yok,Bağımsız Gelişme,Kampanya,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,Dış Ticarete Uzun Vadeli Finansman Desteği | Odeabank,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabanktan-dis-ticarete-uzun-vadeli-finansman-destegi,,missing,Yok,Bağımsız Gelişme,İş Birliği,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,Yapılandırılmış Vergi Borç Tahsilatları Duyurusu| Odeabank,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/yapilandirilmis-vergi-borc-tahsilatlari,2016-11-30,announcement_date,Yüksek,Bağımsız Gelişme,Ürün / Özellik Gelişmesi,False,Kesim tarihinden eski: 2016-11-30 < 2026-05-01
Odeabank,REG-096,Odeabank KOBİ’ler için AYB ile €100 Milyon Tutarında Kredi Anlaşması İmzaladı,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/odeabank-kobiler-icin-ayb-ile-100-milyon-tuarinda-kredi-anlasmasi-imzaladi,,missing,Yok,Bağımsız Gelişme,İş Birliği,False,Tarih yok; varsayılan kapıdan geçmedi
Odeabank,REG-096,Mikro İşletmelere ve Yenilenebilir Enerjiye Destek | Odeabank,https://www.odeabank.com.tr/hakkimizda/basin-bultenleri/mikro-isletmelere-ve-yenilebilir-enerjiye-destek,,missing,Yok,Bağımsız Gelişme,İş Birliği,False,Tarih yok; varsayılan kapıdan geçmedi
